s.no,latitudinal,longitudinal,colour,distance
1,12.193116,79.084481,blue,0
2,12.193111,79.084432,blue,450
3,12.193101,79.084352,blue,380
4,12.193096,79.084293,blue,420
5,12.193080,79.084239,blue,510
6,12.193085,79.084159,blue,390
7,12.193075,79.084067,blue,480
8,12.193085,79.083987,blue,520
9,12.193080,79.083906,blue,410
10,12.193075,79.083821,blue,470
11,12.192996,79.083810,blue,360
12,12.192938,79.083772,blue,440
13,12.192854,79.083746,blue,520
14,12.192818,79.083692,blue,380
15,12.192760,79.083606,blue,460
16,12.192755,79.083509,blue,490
17,12.192771,79.083424,blue,430
18,12.192828,79.083332,blue,510
19,12.192949,79.083257,blue,480
20,12.193085,79.083247,blue,390
21,12.193222,79.083311,blue,420
22,12.193269,79.083408,blue,450
23,12.193295,79.083499,blue,380
24,12.193295,79.083595,blue,470
25,12.193290,79.083665,blue,410
26,12.193222,79.083729,blue,360
27,12.193211,79.083751,blue,520
28,12.192718,79.083381,blue,440
29,12.192687,79.083359,blue,380
30,12.192655,79.083327,blue,420
31,12.192587,79.083279,blue,460
32,12.192561,79.083225,blue,390
33,12.192540,79.083161,blue,510
34,12.192529,79.083096,blue,430
35,12.192519,79.083032,blue,470
36,12.192508,79.082941,blue,520
37,12.192482,79.082839,blue,380
38,12.192477,79.082737,blue,440
39,12.192456,79.082608,blue,460
40,12.192451,79.082522,blue,390
41,12.192430,79.082431,blue,510
42,12.192414,79.082361,blue,420
43,12.192409,79.082265,blue,480
44,12.192393,79.082168,blue,430
45,12.192388,79.082093,blue,470
46,12.192388,79.082018,blue,520
47,12.192361,79.081921,blue,380
48,12.192340,79.081814,blue,440
49,12.193374,79.083295,blue,460
50,12.193452,79.083204,blue,390
51,12.193473,79.083129,blue,510
52,12.193479,79.083053,blue,420
53,12.193463,79.082962,blue,480
54,12.193478,79.082876,blue,430
55,12.193473,79.082790,blue,470
56,12.193452,79.082710,blue,520
57,12.193452,79.082613,blue,380
58,12.193447,79.082538,blue,440
59,12.193426,79.082469,blue,460
60,12.193400,79.082361,blue,390
61,12.193400,79.082270,blue,510
62,12.193400,79.082190,blue,420
63,12.193400,79.082098,blue,480
64,12.193379,79.082002,blue,430
65,12.193374,79.081916,blue,470
66,12.193347,79.081787,blue,520
67,12.193347,79.081680,blue,380
68,12.192524,79.083348,blue,440
69,12.192451,79.083386,blue,460
70,12.192356,79.083397,blue,390
71,12.192288,79.083413,blue,510
72,12.192188,79.083434,blue,420
73,12.192136,79.083488,blue,480
74,12.192094,79.083568,blue,430
75,12.192052,79.083649,blue,470
76,12.192010,79.083708,blue,520
77,12.193347,79.081599,blue,380
78,12.192335,79.081733,blue,440
79,12.192660,79.082914,pink,460
80,12.192818,79.082908,pink,390
81,12.192980,79.082882,pink,510
82,12.193143,79.082855,pink,420
83,12.193306,79.082849,pink,480
84,12.192555,79.082173,pink,430
85,12.192750,79.082146,pink,470
86,12.192891,79.082152,pink,520
87,12.192965,79.082372,pink,380
88,12.193153,79.082361,pink,440
89,12.193321,79.082356,pink,460
90,12.192954,79.082281,pink,390
91,12.192697,79.083638,pink,510
92,12.192550,79.083638,pink,420
93,12.192440,79.083606,pink,480
94,12.192314,79.083558,pink,430
